PDT,Max Temperature,Mean Temperature,Min Temperature,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind Speed, Mean Wind Speed, Max Gust Speed,Precipitation, CloudCover, Events, WindDirDegrees
2012-9-25,78,72,65,62,59,57,87,71,54,29.92,29.89,29.84,10,10,8,13,5,18,0.00,3,,199
2012-9-26,80,73,66,61,59,57,73,63,52,29.89,29.86,29.82,10,10,8,13,3,16,0.00,3,,222
2012-9-27,82,74,65,62,61,60,87,71,54,29.92,29.89,29.84,10,7,4,10,4,15,0.00,3,,213
2012-9-28,84,75,66,62,61,56,81,61,40,29.93,29.89,29.83,10,8,4,10,3,15,0.00,3,,265
2012-9-29,88,77,66,64,61,57,87,64,40,29.97,29.92,29.88,10,9,6,12,2,15,0.00,2,,216
2012-9-30,91,79,66,64,61,56,78,55,32,29.97,29.92,29.87,10,10,9,9,3,13,0.00,0,,218
2012-10-1,93,80,67,65,62,57,87,59,30,29.92,29.86,29.79,10,10,7,9,2,14,0.00,0,,231
2012-10-2,89,79,68,67,62,58,73,55,36,29.86,29.83,29.80,10,10,9,13,3,15,0.00,1,,214
2012-10-3,81,74,66,65,63,61,93,76,58,30.03,29.95,29.87,10,7,0,13,4,16,0.00,3,Fog,220
2012-10-4,77,72,67,61,59,57,81,66,50,30.11,30.06,30.03,10,10,9,12,4,18,0.00,4,,202
2012-10-5,77,72,66,61,58,55,73,64,54,30.06,30.00,29.94,10,10,10,10,4,17,0.00,6,,206
2012-10-6,79,72,64,63,60,57,84,69,54,29.97,29.93,29.87,10,10,9,13,3,16,0.00,5,,204
2012-10-7,79,73,66,63,62,60,81,68,54,29.93,29.90,29.87,10,10,5,13,6,16,0.00,2,,175
2012-10-8,78,73,67,63,60,59,81,69,56,29.97,29.95,29.92,10,10,9,13,4,16,0.00,3,,178
2012-10-9,77,72,67,60,58,56,76,63,50,29.99,29.96,29.92,10,10,10,12,4,17,0.00,6,,218
2012-10-10,76,70,64,58,56,54,78,66,53,29.99,29.95,29.90,10,10,10,12,4,,0.00,4,,262
2012-10-11,72,68,63,57,54,47,78,60,41,29.97,29.92,29.89,10,10,10,13,4,20,0.09,4,Rain,128
2012-10-12,74,67,59,56,53,50,73,60,46,30.15,30.09,29.98,10,10,10,14,3,18,0.01,3,Tornado,235
2012-10-13,77,68,58,59,54,52,78,61,43,30.19,30.12,30.03,10,10,10,10,2,15,0.00,1,,245
2012-10-14,87,74,60,60,56,49,78,54,29,30.05,29.99,29.92,10,10,10,12,3,16,0.00,0,,249
2012-10-15,89,77,64,61,54,49,67,47,27,29.93,29.88,29.83,10,10,10,12,3,14,0.00,1,,228
2012-10-16,87,76,64,64,61,56,93,67,40,29.87,29.82,29.73,10,5,0,13,3,16,0.00,3,Fog,223
2012-10-17,95,80,64,57,52,41,73,44,15,29.82,29.76,29.72,10,10,10,8,2,10,0.00,1,,251
2012-10-18,81,76,71,66,61,53,74,59,43,30.06,30.00,29.84,10,10,10,16,8,22,0.00,4,,170
2012-10-19,77,72,67,63,62,61,81,73,64,30.01,29.95,29.89,10,9,6,12,4,16,0.00,4,,264
2012-10-20,72,70,67,63,61,60,87,78,68,29.92,29.87,29.83,10,8,4,14,6,17,T,8,Rain,183
2012-10-21,76,71,65,61,59,57,81,68,54,29.92,29.88,29.86,10,10,3,15,8,18,0.01,6,Rain,165
2012-10-22,73,69,65,60,55,53,87,70,53,30.00,29.95,29.90,10,10,10,16,6,21,0.00,6,,218
2012-10-23,72,67,61,57,52,46,78,60,41,29.99,29.97,29.94,10,10,4,13,6,17,0.05,4,Rain,203
2012-10-24,73,65,57,52,50,44,77,58,38,30.05,30.01,29.98,10,10,10,12,3,15,0.00,1,,228
2012-10-25,80,68,55,55,47,39,67,46,25,30.06,30.00,29.93,10,10,10,13,2,15,0.00,0,,218
2012-10-26,91,75,59,51,29,12,69,39,8,30.00,29.94,29.89,10,10,10,22,6,28,0.00,0,,64
2012-10-27,90,75,59,45,37,28,39,26,13,29.90,29.86,29.81,10,10,10,8,3,,0.00,0,,228
2012-10-28,85,72,58,57,43,33,57,37,17,30.01,29.93,29.89,10,10,10,12,3,14,0.00,0,,220
2012-10-29,83,70,57,57,48,42,62,44,26,30.09,30.03,30.00,10,10,6,12,2,16,0.00,0,,235
2012-10-30,76,66,55,58,52,45,93,67,41,30.07,30.04,29.97,10,5,0,10,2,13,0.00,3,Fog,209
2012-10-31,72,66,59,57,54,53,84,69,53,30.07,30.02,29.96,10,7,3,9,3,13,0.00,5,,202
2012-11-1,71,67,62,55,53,52,78,68,57,30.04,29.99,29.96,10,8,5,10,3,15,0.00,6,,205
2012-11-2,72,67,61,55,52,50,78,64,49,30.01,29.98,29.92,10,10,7,12,4,15,0.00,4,,154
2012-11-3,77,67,56,58,54,49,80,63,46,30.04,30.01,29.97,10,8,6,9,2,12,0.00,0,,233
2012-11-4,91,73,55,56,48,39,84,53,21,30.06,30.03,29.99,10,9,5,9,2,13,0.00,0,,231
