Common Name,Scientific Name,Type of plant,Height range
Big Leaf Maple,Acer macrophyllum,tree or shrub,
Yarrow,Achilliea millefolium,perennials,"24-36"" tall"
California Buckeye,Aesculus californica,tree or shrub,
ALder,Alder oregona,,540
Golden Garlic,Allium moly,"bulb, vegetable","6-12"" height"
Aloe vera,Aloe vera,succulent,"24-39"" tall"
California False Indigo,Amorpha californica,tree or shrub,
Bunya Pine,Araucaria bidwillii,,
black chokeberry,Aronia malanocarpa,,
Paw Paw,Asimina triloba,,120
Borage,Borage officilalis,annual herb,"24"" wide x 36"" high"
Jelly Palm,Butia capitata,,
Chamburro Mountain Papaya,Carica papaya,,
White Sapote,Casimiroa edulis,,
American chesnut,Castanea dentata,,480
Hackberry,Celtis occidentalis,deciduous tree,"480"" wide x 480"" high"
Carob,Ceratonia siliqua,,
Redbud,Cercis canadensis,deciduous tree,"300-420"" wide x 300-420"" tall"
Quinoa,Chenopodium quinoa,annual,"60"" tall"
Rock rose,Cistus albidus,,"12-36"" wide x 12-36"" tall"
Brown Dogwood,Cornus glabrata,tree or shrub,
Cornelian Cherry Dogwood,Cornus mas,,144
California Hazelnut or Beaked Hazel,Corylus cornuta,,144
Filbert,Corylus maxima,,120
Azarole,Crataegus azarolus,,120
Quince,Cydonia oblonga,"deciduous, edible fruit, shrub, tree","120-288"" wide x 120-288"" tall"
Cardoon/Artichoke Thistle,Cynara cardunculus,"perennial, vegetable","48-72"" wide x 60-96"" high"
Asian Persimmon,Diospyros kaki,,180
American Persimmon,Diospyros virginiana,"deciduous, edible fruit tree","180-360"" wide x 180-360"" tall"
Orange Sticky Monkey Flower,Diplacus aurantiacus,tree or shrub,
Silver berry,Elaeagnus commutata,,
Autumn Olive,Elaeagnus umbellata,,120
Loquat,Eriobotrya japonica,,240
Arugula,Eruca vesicaria spp. sativa,"annual, vegetable","12-18"" wide x 24-36"" high"
Strawberry Bush,Euonymus americanus,,60
American beech,Fagus grandiflora,,600
Fig,Ficus carica,deciduous tree,"180-240"" height"
Fennel,Foeniculum vulgare,herb,"98.4"" height"
Ginkgo,Ginkgo biloba,deciduous tree,"420-600"" tall"
Honey locust,Gleditsia tricanthos,,420
Sunflower,Helianthus annus,annual,"36-84"" tall"
Japanese Raisin,Hovenia dulcis,,
Heartnut,Juglans ailantifolia,,
California black walnut,Juglans californica,tree,"60-120"" width x 240"" height"
Black Walnut,Juglans nigra,"deciduous, edible fruit, tree","840"" wide x up to 1200"" tall"
English Walnut,Juglans regia,"deciduous, edible fruit, tree",480
Lavender,Lavandula angustifolia,"evergreen, herbs, shrubs","12-18"" height"
Lupine,Lupinusmicrocarpus densiflorus,"annual, shrub, flower","18-24"" high"
Mandarin Melonberry or Che,Maclura tricuspidata,,
Oregon grape,Mahonia aquifolium,"evergreen, shrub","60"" wide x 72"" high"
Cascade Barberry,Mahonia nervosa,tree or shrub,
Wayleaf Barberry,Mahonia pinnata,tree or shrub,
Catnip,Nepeta cataria,"deciduous herbs, perennials","24-36"" wide x 24-36"" high"
Olive,Olea europaea,tree,"300"" wide x 300"" high"
Oregano,Origanum vulgare,"evergreen, herbs, perennials","24-36"" wide x 30"" high"
Penstemon,Penstemon spp.,perennial,"24-36"" wide x 48-72"" tall"
Avocado,Persea americana,"evergreen, edible fruit tree","360-480"" wide x 360-480"" tall"
Golden bamboo,Phyllostachys aurea,,"72-240"" tall"
Italian stone pine,Pinus pinea,evergreen tree,"420-720"" wide x 480-960"" high"
Licorice fern,Polypodium glycyrrhiza,fern,"5-12"" fronds"
Apricot,Prunus armeniaca,,
Hall's Hardy Almond,Prunus dulcis,,180
Hollyleaf Cherry,Prunus ilicifolia,tree or shrub,
Nectarine,Prunus persica,,120
Peach,Prunus persica,,144
choke cherry,Prunus virginiana,,
Pomegranate,Punica granatum,,
European Pear,Pyrus communis,,50
Asian Pear,Pyrus pyrifolia,,60
"Lemonade Berry, Lemonade Sumac",Rhus integrifolia,"evergreen, ground cover, shrub","120-180"" width x 72-120"" height"
Canyon Gooseberry,Ribes menziesii,tree or shrub,
Black Locust,Robinia pseudoacacia,,480
Rosemary,Rosemarinus officionalis,"evergreen, herb, shrub, flower",varies by type
Blackcap Raspberry,Rubus occidentalis,,
California Blackberry,Rubus ursinus,,
"Rue, Herb-of-grace",Ruta graveolens,"herb, perennial","24-36"" wide x 24-36"" tall"
Narrowleaf Willow,Salix exigua,tree or shrub,
Red Willow,Salix laevigata,tree or shrub,
San Luis Purple Sage,Salvia leucophylla,tree or shrub,
Black Sage,Salvia mellifera,tree or shrub,
Elderberry,Sambucus mexicana,,
Western mountain ash,Sorbus scopulina,,120
Lamb's ears,Stachys byzantina,"ground covers, perennials","12-18"" tall"
Woolly Bluecurls,Trichostema lanatum,tree or shrub,
Chilean Guava or Strawberry Myrtle,Ugni molinae,,
Grape,Vitis vinifera,vine,
Yellowhorn,Xanthoceras sorbifolium,,180
Yucca (banana yucca),Yucca baccata,,
Jujube,Ziziphus jujuba,,
Chamise,Adenostoma fasciculatum,tree or shrub,
Dwarf Coastal Manzanita,Arctostaphylos edmundsii,tree or shrub,
Woollyleaf Manzanita,Arctostaphylos tomentosa,tree or shrub,
Hoaryleaf Ceanothus,Ceanothus crassifolius,tree or shrub,
White Mt Lilac,Ceanothus arboreus,tree or shrub,
Toyon,Heteromeles arbutifolia,tree or shrub,
Mendocino Bushmallow,Malacothamnus fasciculatus,tree or shrub,
