Species,Common Names,Ranking,Plant Type,Plant Url
Abies amabilis,Pacific Silver Fir,,Tree,http://calscape.org/Abies-amabilis-(Pacific-Silver-Fir)
Abies bracteata,Santa Lucia Fir,,Tree,http://calscape.org/Abies-bracteata-(Santa-Lucia-Fir)
Abies concolor,Balsam Fir,,Tree,http://calscape.org/Abies-concolor-(Balsam-Fir)
Abies grandis,Grand Fir,,Tree,http://calscape.org/Abies-grandis-(Grand-Fir)
Abies lasiocarpa,Subalpine Fir,,Tree,http://calscape.org/Abies-lasiocarpa-(Subalpine-Fir)
Abies lasiocarpa var. lasiocarpa,Subalpine Fir,,Tree,http://calscape.org/Abies-lasiocarpa-var.-lasiocarpa-(Subalpine-Fir)
Abies magnifica,Balsam Fir,,Tree,http://calscape.org/Abies-magnifica-(Balsam-Fir)
Abies magnifica var. magnifica,California Red Fir,,Tree,http://calscape.org/Abies-magnifica-var.-magnifica-(California-Red-Fir)
Abies magnifica var. shastensis,Shasta Red Fir,,Tree,http://calscape.org/Abies-magnifica-var.-shastensis-(Shasta-Red-Fir)
Abies procera,Noble Fir,,Tree,http://calscape.org/Abies-procera-(Noble-Fir)
Abronia alpina,Ramshaw Meadows Abronia,,"Annual herb,Perennial herb",http://calscape.org/Abronia-alpina-(Ramshaw-Meadows-Abronia)
Abronia latifolia,Sand Verbena,,"Annual herb,Perennial herb",http://calscape.org/Abronia-latifolia-(Sand-Verbena)
Abronia maritima,Red Sand Verbena,,"Annual herb,Perennial herb",http://calscape.org/Abronia-maritima-(Red-Sand-Verbena)
Abronia nana,,,"Annual herb,Perennial herb",http://calscape.org/Abronia-nana-()
Abronia nana var. covillei,Coville's Dwarf Abronia,,"Annual herb,Perennial herb",http://calscape.org/Abronia-nana-var.-covillei-(Coville's-Dwarf-Abronia)
Abronia pogonantha,,,"Annual herb,Perennial herb",http://calscape.org/Abronia-pogonantha-()
Abronia turbinata,,,"Annual herb,Perennial herb",http://calscape.org/Abronia-turbinata-()
Abronia umbellata,Pink Sand Verbena,,"Annual herb,Perennial herb",http://calscape.org/Abronia-umbellata-(Pink-Sand-Verbena)
Abronia umbellata var. breviflora,Pink Sand-verbena,,"Annual herb,Perennial herb",http://calscape.org/Abronia-umbellata-var.-breviflora-(Pink-Sand-verbena)
Abronia umbellata var. umbellata,,,"Annual herb,Perennial herb",http://calscape.org/Abronia-umbellata-var.-umbellata-()
Abronia villosa,Hairy Sand Verbena,,"Annual herb,Perennial herb",http://calscape.org/Abronia-villosa-(Hairy-Sand-Verbena)
Abronia villosa var. aurita,Chaparral Sand-verbena,,"Annual herb,Perennial herb",http://calscape.org/Abronia-villosa-var.-aurita-(Chaparral-Sand-verbena)
Abronia villosa var. villosa,,,"Annual herb,Perennial herb",http://calscape.org/Abronia-villosa-var.-villosa-()
Abutilon palmeri,Palmer's Indian Mallow,,Perennial herb,http://calscape.org/Abutilon-palmeri-(Palmer's-Indian-Mallow)
Abutilon parvulum,Dwarf Abutilon,,Perennial herb,http://calscape.org/Abutilon-parvulum-(Dwarf-Abutilon)
Acaena pinnatifida,Argentinian Biddy Biddy,,Perennial herb,http://calscape.org/Acaena-pinnatifida-(Argentinian-Biddy-Biddy)
Acaena pinnatifida var. californica,California Sheepburr,,Perennial herb,http://calscape.org/Acaena-pinnatifida-var.-californica-(California-Sheepburr)
