ID,Common Name,Scientific Name,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop,Region
2944,Okra,Abelmoschus esculentus,Annual,60,60,6,Summer,"Best in well-drained soil, but tolerates a variety of poor soils. Primarily self-pollinating, but cross pollinated by bees. ","Purple, Yellow",Tap,Summer - ?,Summer - ?,Coarse,Upright,Fast,Minor,Minor,Full_Sun,11-Feb,Moderate,5.5 - 7.5,Domestic Animal Forage,"Container Garden, Fiber, Food, Medicine, Ornamental","tropic, subtropic, warm temperate"
2916,Silver Wattle Acacia,Acacia dealbata,Evergreen Tree,85,25,0,,"life span short for tree, long for acacias (20+ years)",Yellow,"Fibrous Deep, Fibrous Shallow",Early Spring - Spring,,Fine,Oval,Moderate,,,Full_Sun,10-Jul,,4.5 - 7.5,"Domestic Animal Forage, Erosion Control, Nitrogen Fixer, Windbreak","Coppice, Dye, Fiber, Food, Oil, Wax, Resin or Polish, Wood",
3139,Gum Acacia,Acacia farnesiana,Deciduous Shrub,25,25,0,,"Needs loose, well-draining soils. Flowering generally coincides with wet seasons. Vase shape. ","Orange, Yellow",,Winter - Spring,Summer - Winter,Fine,Rounded,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,Moderate,5.0 - 7.5,"Domestic Animal Forage, Erosion Control, Nitrogen Fixer, Wildlife Food","Aromatics/Fragrance, Biomass, Dye, Essential Oil, Medicine, Oil, Wax, Resin or Polish, Wood",
2918,Australian Blackwood,Acacia melanoxylon,Evergreen Tree,70,50,0,All Year,Flowers August-September in South Africa. ,"Cream, White",Long Rhizome,,,Medium,Spreading,Fast,Medium,Medium,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate, Dry",5.6 - 7.5,"Erosion Control, Nitrogen Fixer, Reclamator, Windbreak","Biomass, Pollard, Wood",
3140,Foxtail,Acalypha alopecuroidea,Annual,25,15,0,,Monoecious. Grows well on disturbed sites.,"Green, White",Tap,Spring - Fall,Spring - Fall,Coarse,Upright,,Medium,,"Full_Sun, Partial_Shade",11-Sep,"Moderate, Dry",5.6 - 7.5,Domestic Animal Forage,"Fiber, Medicine",
3141,"Copper Leaf, Field",Acalypha arvensis,Annual,25,20,0,,"Native to an altitude of 1,500 meters. Sometimes rooting at lower nodes. Often growing in abandoned or degraded land. Sometimes a short-lived perennial. Flowers and fruits throughout the year. Best in humidity.","Green, Red",,,,Coarse,Upright,,,,Partial_Shade,12-Oct,"Wet, Moderate",8.5 - 9.5,,Medicine,
3107,Pineapple Guava,Acca sellowiana,Evergreen Shrub,20,20,0,All Year,"Responds well to pruning, excessive pruning may reduce fruit set. Best in well-drained soils. Seedlings may not produce high quality fruit. Some cultivars self-pollinate, others require cross-pollination. Not always true to type by seed.","Purple, Red, White",Fibrous Shallow,Spring - Summer,Fall - Winter,Medium,Rounded,Slow,Minor,Minor,"Full_Sun, Partial_Shade",10-Aug,Moderate,5.5 - 7.0,"Erosion Control, Hedge, Insectory, Wildlife Food, Windbreak","Aromatics/Fragrance, Food, Ornamental, Wood",
2135,Dwarf Yarrow,Achillea tomentosa,Perennial,24,18,8,Spring-Fall,Green foliage; white or yellow flower,,Rhizome,,,Fine,Mound,Moderate,,,"Full_Sun, Partial_Shade",10-Mar,"Moderate, Dry",6.0 - 8.0,Mulch Maker,,
3121,Silver Broom,Adenocarpus decorticans,Deciduous Shrub,10,8,0,Spring-Summer,Calcifuge. Needs well-draining soils. ,Yellow,"Tap, Fibrous Shallow",Late Spring - Summer,Fall - ?,Medium,Rounded,Moderate,Medium,Medium,"Full_Sun, Partial_Shade",10-Aug,"Moderate, Dry",4.5 - 5.5,"Domestic Animal Forage, Erosion Control, Hedge, Nitrogen Fixer, Reclamator, Soil Builder, Wildlife Food","Biomass, Fiber, Ornamental",
3241,Urn Plant,Aechmea fasciata,Perennial,36,24,5,All Year,"Epiphyte. Best grown in well-draining soils. Dies after first bloom, but produces offsets that can be transplanted. Best when the rosette contains water. Non-mycorrhizal. ","Pink, Purple",Fibrous Shallow,Spring - ?,Fall - ?,Coarse,Rosette,Slow,Minor,Minor,Partial_Shade,11-Oct,Moderate,5.5 - 7.5,"Air Cleaner, Groundcover",Ornamental,
1665,Goutweed (Snow On The Mountain),Aegopodium podagraria,Perennial,10,36,8,Summer,Not affected by walnut toxicity. Deer resistant. Best used as a persistent groundcover among shrubs in full sun. Can be very invasive.  Leaves on most common variety are variegated white and green.,White,Fibrous Shallow,Late Spring - Late Summer,,Medium,Spreading,Fast,Minor,Minor,"Partial_Shade, Shade",10-Mar,"Wet, Moderate",5.0 - 8.0,"Erosion Control, Soil Builder",Medicine,
5399,Century Plant,Agave parryi,Perennial,24,36,0,All Year,,Yellow,"Long Rhizome, Short Rhizome",,,Coarse,Rosette,Slow,Minor,Minor,Full_Sun,10-Jul,"Moderate, Dry",6.1 - 7.8,"Groundcover, Insectory, Wildlife Food","Container Garden, Fiber, Food, Food, Medicine, Ornamental, Soap",
6998,Rough Agave,Agave scabra (Agave asperrima),Perennial,60,60,0,All Year,,Yellow,Rhizome,,,Coarse,Clump,Slow,Minor,Minor,Full_Sun,11-Jul,"Moderate, Dry",6.0 - 8.0,"Insectory, Wildlife Food","Food, Ornamental",
3143,Santa Lucia,Ageratum conyzoides,Annual,36,0,2,,Fresh plant is malodorous. Highly adaptable to different ecological conditions. Stems may become woody with age. Self-pollinates. Best in high fertility soil. ,"Pink, Purple",Fibrous Shallow,Summer - Fall,,Coarse,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Aug,"Wet, Moderate",5.5 - 7.0,"Herbicide, Insecticide","Dye, Essential Oil, Medicine, Soap",
3234,Chinese Evergreen,Aglaonema crispum,Perennial,36,36,0,All Year,"Thrives in humid environments with rich, well-draining soils. Easily propagated from stem cuttings. ","Green, Yellow",Fibrous Shallow,Summer - Early Fall,,Coarse,Upright,Slow,Minor,Minor,"Partial_Shade, Shade",11-Oct,Moderate,5.5 - 6.5,Air Cleaner,"Container Garden, Ornamental",
