Common Name,Scientific Name
Okra,Abelmoschus esculentus
red sand verbena,Abronia maritima
pink sand verbena,Abronia umbellata
desert sand verbena,Abronia villosa
velvetleaf,Abutilon theophrasti
cootamundra wattle,Acacia baileyana
Silver Wattle Acacia,Acacia dealbata
green wattle,Acacia decurrens
Gum Acacia,Acacia farnesiana
Sydney golden wattle,Acacia longifolia
Australian Blackwood,Acacia melanoxylon
California copperleaf,Acalypha californica
Pineapple Guava,Acca sellowiana
bigleaf maple,Acer macrophyllum
common yarrow,Achillea millefolium
Dwarf Yarrow,Achillea tomentosa
giant ricegrass,Achnatherum coronatum
sacapellote,Acourtia microcephala
desertpeony,Acourtia nana
hardheads,Acroptilon repens
Silver Broom,Adenocarpus decorticans
chamise,Adenostoma fasciculatum
Urn Plant,Aechmea fasciata
California Buckeye,Aesculus californica 
Century Plant,Agave parryi
Rough Agave,Agave scabra (Agave asperrima)
Chinese Evergreen,Aglaonema crispum
southern mule-ears,Agnorhiza ovata
bigflower agoseris,Agoseris grandiflora
creeping bentgrass,Agrostis stolonifera
tree of heaven,Ailanthus altissima
White Sirus (Maharuk),Ailanthus triphysa
Alder,Alder oregona
camelthorn,Alhagi maurorum
Golden Trumpet Vine,Allamanda cathartica
fringed onion,Allium fimbriatum
redskin onion,Allium haematochiton
Golden Garlic,Allium moly
San Bernardino Mountain onion,Allium monticola
Mexicali onion,Allium peninsulare
early onion,Allium praecox
Garlic Chives,Allium tuberosum
sticky false gilyflower,Allophyllum glutinosum
white alder,Alnus rhombifolia
Giant Elephant Ear,Alocasia macrorrhiza
Aloe vera,Aloe vera
Sissoo Spinach,Alternanthera sissoo
prostrate pigweed,Amaranthus albus
mat amaranth,Amaranthus blitoides
largefruit amaranth,Amaranthus deflexus
slim amaranth,Amaranthus hybridus
carelessweed,Amaranthus palmeri
redroot amaranth,Amaranthus retroflexus
dwarf coastweed,Amblyopappus pusillus
flatspine bur ragweed,Ambrosia acanthicarpa
silver bur ragweed,Ambrosia chamissonis
Peruvian Ragweed,Ambrosia peruviana
Cuman ragweed,Ambrosia psilostachya
great ragweed,Ambrosia trifida
great ragweed,Ambrosia trifida var. trifida
valley redstem,Ammannia coccinea
grand redstem,Ammannia robusta
toothpickweed,Ammi visnaga
California false indigo,Amorpha californica
false indigo bush,Amorpha fruticosa
Elephant Foot Yam,Amorphophallus paeoniifolius
Douglas' fiddleneck,Amsinckia douglasiana
Menzies' fiddleneck,Amsinckia menziesii
common fiddleneck,Amsinckia menziesii var. intermedia
Menzies' fiddleneck,Amsinckia menziesii var. menziesii
Cashew,Anacardium occidentale
scarlet pimpernel,Anagallis arvensis
scarlet pimpernel,Anagallis arvensis ssp. arvensis
Stinking Bean Trefoil,Anagyris foetida
western pearly everlasting,Anaphalis margaritacea
yerba mansa,Anemopsis californica
Cherimoya,Annona cherimola
Soursop,Annona muricata
Large-Leaved Pussytoes,Antennaria plantaginifolia
stinking chamomile,Anthemis cotula
Monkey Comb,Apeiba tibourbou
field parsley piert,Aphanes arvensis
San Diego coastalcreeper,Aphanisma blitoides
mock parsley,Apiastrum angustifolium
wild celery,Apium graveolens
wild celery,Apium graveolens var. dulce
Indianhemp,Apocynum cannabinum
tower rockcress,Arabis glabra
sicklepod rockcress,Arabis sparsiflora
California rockcress,Arabis sparsiflora var. californica
Peanut,Arachis hypogaea
Perennial Peanut,Arachis Pintoi
California spikenard,Aralia californica
Bunya Pine,Araucaria bidwillii
Norfolk Island pine,Araucaria heterophylla
white bladderflower,Araujia sericifera
Pacific madrone,Arbutus menziesii
greater burdock,Arctium lappa
Dwarf Coastal Manzanita,Arctostaphylos edmundsii
Eastwood's manzanita,Arctostaphylos glandulosa
Zaca manzanita,Arctostaphylos glandulosa ssp. zacaensis
bigberry manzanita,Arctostaphylos glauca
Pringle manzanita,Arctostaphylos pringlei
pinkbracted manzanita,Arctostaphylos pringlei ssp. drupacea
Woollyleaf Manzanita,Arctostaphylos tomentosa
Mexican Poppy,Argemone mexicana
flatbud pricklypoppy,Argemone munita
flatbud pricklypoppy,Argemone munita ssp. robusta
silverweed cinquefoil,Argentina anserina
Pacific silverweed,Argentina egedii
Pacific silverweed,Argentina egedii ssp. egedii
sixweeks threeawn,Aristida adscensionis
purple threeawn,Aristida purpurea
Parish's threeawn,Aristida purpurea var. parishii
spidergrass,Aristida ternipes
spidergrass,Aristida ternipes var. gentilis
Giant Pelican Flower,Aristolochia gigantea
rayless arnica,Arnica discoidea
black chokeberry,Aronia malanocarpa
oatgrass,Arrhenatherum
tall oatgrass,Arrhenatherum elatius
tall oatgrass,Arrhenatherum elatius
biennial wormwood,Artemisia biennis
biennial wormwood,Artemisia biennis var. biennis
coastal sagebrush,Artemisia californica
Douglas' sagewort,Artemisia douglasiana
island sagebrush,Artemisia nesiotica
big sagebrush,Artemisia tridentata
basin big sagebrush,Artemisia tridentata ssp. tridentata
Parish's glasswort,Arthrocnemum subterminale
giant reed,Arundo donax
milkweed,Asclepias
California milkweed,Asclepias californica
Tropical Milkweed,Asclepias curassavica
woollypod milkweed,Asclepias eriocarpa
Mexican whorled milkweed,Asclepias fascicularis
Paw Paw,Asimina triloba
garden asparagus,Asparagus officinalis
California lacefern,Aspidotis californica
western spleenwort,Asplenium vespertinum
Dwarf Alpine Aster,Aster alpinus
San Joaquin milkvetch,Astragalus asymmetricus
Braunton's milkvetch,Astragalus brauntonii
Groundplum Milkvetch,Astragalus crassicarpus
dwarf white milkvetch,Astragalus didymocarpus
marsh milkvetch,Astragalus pycnostachyus
marsh milkvetch,Astragalus pycnostachyus var. lanosissimus
Santa Barbara milkvetch,Astragalus trichopodus
Santa Barbara milkvetch,Astragalus trichopodus var. lonchus
Santa Barbara milkvetch,Astragalus trichopodus var. phoxus
Santa Barbara milkvetch,Astragalus trichopodus var. trichopodus
Swamp Saltbush,Atriplex amnicola
silverscale saltbush,Atriplex argentea
silverscale saltbush,Atriplex argentea ssp. expansa
California saltbush,Atriplex californica
fourwing saltbush,Atriplex canescens
Fourwing Saltbush,Atriplex canescens
Coulter's saltbush,Atriplex coulteri
waxy saltbush,Atriplex glauca
big saltbush,Atriplex lentiformis
quailbush,Atriplex lentiformis ssp. breweri
big saltbush,Atriplex lentiformis ssp. lentiformis
beach saltbush,Atriplex leucophylla
Davidson's saltbush,Atriplex pacifica
Parish's saltbush,Atriplex parishii
triangle orache,Atriplex prostrata
tumbling saltweed,Atriplex rosea
Australian saltbush,Atriplex semibaccata
bractscale,Atriplex serenana
Davidson's bractscale,Atriplex serenana var. davidsonii
Watson's saltbush,Atriplex watsonii
slender oat,Avena barbata
wild oat,Avena fatua
Neem,Azadirachta indica
Pacific mosquitofern,Azolla filiculoides
saltmarsh baccharis,Baccharis douglasii
Emory's baccharis,Baccharis emoryi
coyotebrush,Baccharis pilularis
mule-fat,Baccharis salicifolia
Barbie Bamboo,Bambusa chungii 'Barbelatta'
Timor Black Bamboo,Bambusa lako
Punting Pole Bamboo,Bambusa tuldoides
Buddha's Belly Bamboo,Bambusa tuldoides 'Ventricosa'
American yellowrocket,Barbarea orthoceras
Malabar Spinach,Basella alba
fivehorn smotherweed,Bassia hyssopifolia
turtleweed,Batis maritima
sweetbush,Bebbia juncea
sweetbush,Bebbia juncea var. aspera
"Begonia, Wax",Begonia semperflorens
Oregon Grape,Berberis aquifolium
cutleaf waterparsnip,Berula erecta
common beet,Beta vulgaris
smooth beggartick,Bidens laevis
hairy beggarticks,Bidens pilosa
Hairy Beggar's Ticks,Bidens pilosa
