Scientific Name,Common Name,Genus,Family,Four o'clock family,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Abronia alba,,Abronia,Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia maritima,red sand verbena,Abronia,Nyctaginaceae,Four o'clock family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia pinetorum,,Abronia,Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia platyphylla,,Abronia,Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia umbellata,pink sand verbena,Abronia,Nyctaginaceae,Four o'clock family,Perennial,"Forb/herb, Vine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia umbellata ssp. alba,,Abronia,Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia umbellata ssp. platyphylla,,Abronia,Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia umbellata ssp. umbellata,pink sand verbena,Abronia,Nyctaginaceae,Four o'clock family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia umbellata ssp. variabilis,,Abronia,Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia variabilis,,Abronia,Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia villosa,desert sand verbena,Abronia,Nyctaginaceae,Four o'clock family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abronia villosa var. aurita,desert sand verbena,Abronia,Nyctaginaceae,Four o'clock family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon abutilon,,Abutilon,Malvaceae,Mallow family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon avicennae,,Abutilon,Malvaceae,Mallow family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon theophrasti,velvetleaf,Abutilon,Malvaceae,Mallow family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia baileyana,cootamundra wattle,Acacia,Fabaceae,Pea family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia decurrens,green wattle,Acacia,Fabaceae,Pea family,Perennial,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
